Player name ,Nation,Position,Squad,Compition,Age,Born year,Match played,Starts,MIn,90s,Goal,Assist,Goal + Assist,Goal+Penalty kick,Penalty Kick,Penalty Kick Attempted,Yellow Card,Red Card,Expected Goal,Non-penalty Expected Goal,Expected Assisted Goal,Non-penalty Expected Goal + Expected Assisted Goal,Progressive Carries,Progressive Passes,Progressive Passes Receive
Axel Gueguin,FRA,"FW,MF",Montpellier,Ligue 1,18-004,2005,2,14,0.2,5,,,,,0,0,,0,0,0,0,0,0,,0
Marc Guéhi,ENG,DF,Crystal Palace,Premier League,22-258,2000,27,27,"2,430",27,0.6,7,0.6,0.2,0,0,0.8,0,8,77,2,0.01,0.02,0.03,0.02
Mattéo Guendouzi,FRA,MF,Marseille,Ligue 1,23-348,1999,26,20,"1,716",19.1,1,3,4,1,0,0,3,0,2.4,2.4,1.5,4,38,123,77
Raphaël Guerreiro,POR,"DF,MF",Dortmund,Bundesliga,29-096,1993,19,19,"1,660",18.4,3,9,12,3,0,0,3,0,2,2,4.3,6.3,48,123,98
Evann Guessand,FRA,"FW,MF",Nantes,Ligue 1,21-270,2001,26,13,"1,112",12.4,2,2,4,2,0,0,2,0,2.4,2.4,1.2,3.6,39,31,86
Ander Guevara,ESP,MF,Real Sociedad,La Liga,25-264,1997,6,1,147,1.6,2,1,0.7,0.7,0,0,10,0,,1,,,,,
Pape Gueye,SEN,MF,Sevilla,La Liga,24-063,1999,6,6,521,5.8,0.5,3,3,3,0,0,1,0,5,0.5,1,1.5,,29,18
Pape Gueye,SEN,"MF,DF",Marseille,Ligue 1,24-063,1999,14,4,492,5.5,1,1,2,1,0,0,1,0,0.7,0.7,0.9,1.6,9,31,13
Josuha Guilavogui,FRA,"MF,DF",Wolfsburg,Bundesliga,32-190,1990,15,5,630,7,1,1,1,2,0,0,0.2,0,0.2,0.4,0.7,31,2,5,
Frederic Guilbert,FRA,DF,Strasbourg,Ligue 1,28-094,1994,8,7,595,6.6,0.1,3,0.1,0.7,0,0,0.8,0,12,22,30,,,,
Hugo Guillamón,ESP,MF,Valencia,La Liga,23-056,2000,22,18,"1,522",16.9,1,4,5,1,0,0,1,0,1.1,5,0.3,1.6,11,1.9,93
