Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Julio César Enciso,PAR,"Forward,Midfielder",Brighton,Premier League,19,2004,7,151,1.7,1.0,0,0.7,0.1,0.8,6.0,10.0,0,0,0,0
Leonardo César Jardim,BRA,Goalkeeper,Lille,Ligue 1,28,1995,6,6,540,6.0,0,0,0,0,0.0,0,0,0,0,0
Julian Chabot,GER,Defender,Köln,Bundesliga,25,1998,12,12,993,11.0,1,1.0,1.0,2.0,2.0,0.6,1.7,0.1,1.0,0.09
Florian Chabrolle,FRA,Midfielder,Ajaccio,Ligue 1,24,1998,6,3,321,3.6,0,1.0,0.1,0.1,1.0,8.0,0,0,0,0
El Chadaille Bitshiabu,FRA,Defender,Paris S-G,Ligue 1,17,2005,7,3,317,3.5,0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0,0
Fares Chaïbi,ALG,"Forward,Midfielder",Toulouse,Ligue 1,20,2002,26,18,"1,720",19.1,4,4.0,8.0,4.0,3.5,3.5,3.6,52.0,67.0,153.0
Nathaniel Chalobah,ENG,Midfielder,Fulham,Premier League,28,1994,4,1,12,0.1,0,1.0,0.1,0.1,0.0,0,0,0,0,0
Trevoh Chalobah,ENG,Defender,Chelsea,Premier League,23,1999,16,11,"1,007",11.2,0,3.0,0.4,0.1,9.0,32.0,9.0,0.04,0.04,0.04
Calum Chambers,ENG,"Defender,Midfielder",Aston Villa,Premier League,28,1995,8,2,238,2.6,3,1.0,11.0,0,0.0,0,0,0,0,0
Timothy Chandler,USA,Defender,Eint Frankfurt,Bundesliga,32,1990,4,79,0.9,7.0,1,5.0,0,0,0.0,0,0,0,0,0
Gaëtan Charbonnier,FRA,"Forward,Midfielder",Auxerre,Ligue 1,34,1988,6,3,254,2.8,1,1.0,1.0,1.0,0.6,0.2,0.7,2.0,18.0,0
Brendan Chardonnet,FRA,Defender,Brest,Ligue 1,28,1994,20,17,"1,591",17.7,0,5.0,0.6,0.3,2.0,48.0,2.0,0.03,0.05,0.03
Xavier Chavalerin,FRA,Midfielder,Troyes,Ligue 1,32,1991,26,19,"1,831",20.3,2,2.0,4.0,2.0,1.0,1.0,2.0,14.0,77.0,39.0
Pep Chavarría,ESP,"Forward, Defender",Rayo Vallecano,La Liga,24,1998,8,103,1.1,1.0,5,0.1,0.1,4.0,0.0,0,0,0,0,0
Pape Cheikh Diop,SEN,Midfielder,Elche,La Liga,25,1997,1,33,0.4,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Rayan Cherki,FRA,"Midfielder, FORWARD",Lyon,Ligue 1,19,2003,25,12,"1,124",12.5,3,4.0,7.0,3.0,3.2,3.2,4.9,82.0,88.0,177.0
Ilyes Cheti,ALG,Defender,Angers,Ligue 1,28,1995,6,2,207,2.3,2,1.0,0.2,0.2,0.0,7.0,0,0,0,0
Lucas Chevalier,FRA,Goalkeeper,Lille,Ligue 1,21,2001,22,22,"1,980",22.0,0,1.0,0.3,0.3,0.0,0.01,0.01,0.0,0.0,0.0
Fabio Chiarodia,ITA,Defender,Werder Bremen,Bundesliga,17,2005,3,1,66,0.7,0,4.0,0,0,0.0,0.0,0.0,0.0,0,0
Federico Chiesa,ITA,"Defender,Midfielder",Juventus,Serie A,25,1997,11,2,394,4.4,0,3.0,3.0,1.0,20.0,1.7,2.4,0,36.0,0
Ben Chilwell,ENG,"Defender,Midfielder",Chelsea,Premier League,26,1996,16,9,874,9.7,2,2.0,4.0,2.0,0.9,0.9,1.3,30.0,27.0,90.0
Vlad Chiriche?,ROU,Defender,Cremonese,Serie A,33,1989,11,10,726,8.1,2,2.0,11.0,1.0,0.0,0.0,0.0,0,0,0
Pedro Chirivella,ESP,Midfielder,Nantes,Ligue 1,25,1997,23,22,"1,846",20.5,0,1.0,1.0,1.0,15.0,1.6,2.4,0.04,22.0,0.05
Joris Chotard,FRA,Midfielder,Montpellier,Ligue 1,21,2001,25,18,"1,713",19.0,0,2.0,2.0,4.0,6.0,1.9,2.2,0.02,22.0,0.11
Andreas Christensen,DEN,Defender,Barcelona,La Liga,26,1996,16,15,"1,263",14.0,0,1.0,1.0,2.0,16.0,0.5,0.9,0.03,2.0,0.07
Oliver Christensen,DEN,Goalkeeper,Hertha BSC,Bundesliga,24,1999,25,25,"2,250",25.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,SCO,"Midfielder, FORWARD",Bournemouth,Premier League,28,1995,21,12,"1,066",11.8,1,1.0,1.0,1.0,1.6,1.0,2.6,22.0,38.0,0.08
Carney Chukwuemeka,ENG,"Midfielder, FORWARD",Chelsea,Premier League,19,2003,11,1,232,2.6,0,0.3,0.1,0.4,13.0,16.0,0,0,0,0
Samuel Chukwueze,NGA,"Forward,Midfielder",Villarreal,La Liga,23,1999,25,16,"1,476",16.4,4,5.0,9.0,4.0,3.6,3.6,2.9,79.0,48.0,175.0
Darko Churlinov,MKD,Forward,Stuttgart,Bundesliga,22,2000,1,27,0.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Chust,ESP,Defender,Cádiz,La Liga,23,2000,12,9,863,9.6,1,1.0,1.0,3.0,0.8,0.8,21.0,3.0,0.1,0.1
Tolga Cigerci,TUR,Midfielder,Hertha BSC,Bundesliga,31,1992,7,6,475,5.3,0,1.0,1.0,2.0,2.0,0.3,0.4,0,1.0,0
Yanis Cimignani,FRA,"Midfielder, Defender",Ajaccio,Ligue 1,21,2002,8,3,279,3.1,0,0.2,0.1,0.3,3.0,0,0,0,0,0
Daniel Ciofani,ITA,Forward,Cremonese,Serie A,37,1985,24,5,631,7.0,5,5.0,3.0,2.0,4.3,1.8,0.5,5.0,5.0,25.0
Tio Cipot,SVN,"Forward, Defender",Spezia,Serie A,19,2003,4,67,0.7,0.1,2,0.1,3.0,9.0,0.0,0,0,0,0,0
Pathé Ciss,SEN,"Midfielder, Defender",Rayo Vallecano,La Liga,29,1994,24,10,"1,047",11.6,1,1.0,1.0,4.0,2.0,0.2,2.2,8.0,3.0,0.09
Souleymane Cissé,FRA,Defender,Clermont Foot,Ligue 1,20,2002,2,36,0.4,1.0,0,0,0,0,0.0,0,0,0.0,0,0.0
Patrick Ciurria,ITA,"Defender,Midfielder",Monza,Serie A,28,1995,25,20,"1,785",19.8,4,4.0,8.0,4.0,3.9,3.9,4.5,38.0,58.0,117.0
Bobby Clark,ENG,Midfielder,Liverpool,Premier League,18,2005,1,8,0.1,1.0,0,2.0,0,0,0.0,0.0,0.0,0.0,0,0
Alexis Claude-Maurice,FRA,Forward,Nice,Ligue 1,24,1998,2,1,64,0.7,0,0.1,0.1,2.0,0.0,0,0,0,0,0
Alexis Claude-Maurice,FRA,"Midfielder, FORWARD",Lens,Ligue 1,24,1998,15,4,485,5.4,3,2.0,5.0,3.0,1.1,0.8,1.9,10.0,40.0,0
Jonathan Clauss,FRA,Defender,Marseille,Ligue 1,30,1992,24,22,"1,773",19.7,1,8.0,9.0,1.0,2.8,2.8,5.9,56.0,84.0,150.0
Carlos Clerc,ESP,"Defender,Midfielder",Elche,La Liga,31,1992,21,20,"1,653",18.4,0,1.0,1.0,1.0,40.0,1.4,1.9,0.03,79.0,0.05
Nathaniel Clyne,ENG,Defender,Crystal Palace,Premier League,31,1991,21,19,"1,636",18.2,14,3.0,0.7,0.7,0.0,29.0,0.04,0.0,0.04,0.0
Conor Coady,ENG,Defender,Everton,Premier League,30,1993,22,22,"1,970",21.9,1,1.0,2.0,1.0,0.8,0.8,0.3,4.0,40.0,1.0
Marcus Coco,FRA,"Defender, Forward",Nantes,Ligue 1,26,1996,17,3,322,3.6,1,1.0,1.0,1.0,0.8,0.6,1.5,10.0,30.0,0
Alexandre Coeff,FRA,Defender,Auxerre,Ligue 1,31,1992,7,6,586,6.5,0,1.0,1.0,0.1,3.0,0.4,26.0,0,0,0
Jack Colback,ENG,Midfielder,Nott'ham Forest,Premier League,33,1989,11,4,497,5.5,5,0.2,0.2,16.0,0.0,0,0,0,0,0
Séamus Coleman,IRL,Defender,Everton,Premier League,34,1988,20,17,"1,450",16.1,1,1.0,1.0,1.0,0.3,0.3,0.6,13.0,27.0,0.06
David Colina,CRO,"Defender,Midfielder",Augsburg,Bundesliga,22,2000,3,66,0.7,1.0,1,1.0,0.4,0.5,0.4,4.0,0,0,0,0
Álex Collado,ESP,Midfielder,Elche,La Liga,23,1999,9,8,536,6.0,1,1.0,2.0,1.0,0.5,0.5,0.9,10.0,16.0,34.0
Diego Collado,ESP,Forward,Villarreal,La Liga,22,2001,2,6,0.1,1.0,0,3.0,0,0,0.0,0.0,0.0,0.0,0,0
Omar Colley,GAM,Defender,Sampdoria,Serie A,30,1992,16,15,"1,384",15.4,1,1.0,1.0,5.0,1.2,1.2,33.0,3.0,0.07,0.07
Nathan Collins,IRL,Defender,Wolves,Premier League,21,2001,20,17,"1,578",17.5,0,2.0,1.0,0.1,11.0,0.2,60.0,0.01,0.01,0.01
Lorenzo Colombo,ITA,Forward,Lecce,Serie A,21,2002,24,13,"1,188",13.2,4,2.0,6.0,4.0,4.5,4.0,3.7,11.0,5.1,19.0
Andrea Colpani,ITA,Midfielder,Monza,Serie A,23,1999,19,4,537,6.0,2,2.0,2.0,1.0,1.5,1.0,2.5,14.0,41.0,0
Levi Colwill,ENG,Defender,Brighton,Premier League,20,2003,8,6,553,6.1,0,0.2,0.1,0.3,6.0,1.0,0,0,0,0
Kingsley Coman,FRA,"Forward,Midfielder",Bayern Munich,Bundesliga,26,1996,17,9,920,10.2,5,4.0,9.0,5.0,2.6,1.0,2.6,65.0,6.3,43.0
Eray Cömert,SUI,Defender,Valencia,La Liga,25,1998,20,17,"1,526",17.0,1,1.0,1.0,4.0,0.5,0.5,0.1,5.0,50.0,0.06
Santi Comesaña,ESP,Midfielder,Rayo Vallecano,La Liga,26,1996,24,18,"1,548",17.2,1,1.0,1.0,4.0,1.6,1.0,2.6,18.0,37.0,0.06
Andrea Consigli,ITA,Goalkeeper,Sassuolo,Serie A,36,1987,25,25,"2,250",25.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdu Conté,POR,Defender,Troyes,Ligue 1,25,1998,16,13,"1,177",13.1,1,2.0,3.0,1.0,0.6,1.9,2.4,30.0,87.0,0.15
Andrea Conti,ITA,Defender,Sampdoria,Serie A,29,1994,1,23,0.3,1.0,0,2.0,0,0,0.0,0.0,0.0,0.0,0,0
Lewis Cook,ENG,Midfielder,Bournemouth,Premier League,26,1997,21,17,"1,516",16.8,0,2.0,2.0,2.0,9.0,2.2,2.4,0.01,8.0,0.12
Steve Cook,ENG,Defender,Nott'ham Forest,Premier League,31,1991,12,11,957,10.6,0,4.0,0.1,0.6,1.0,19.0,0.05,0.01,0.01,0.07
Liam Cooper,SCO,Defender,Leeds United,Premier League,31,1991,13,12,"1,106",12.3,1,1.0,1.0,2.0,1.0,0.5,1.5,1.0,1.0,0.08
Copete,ESP,Defender,Mallorca,La Liga,23,1999,19,18,"1,452",16.1,0,7.0,0.2,0.2,7.0,46.0,2.0,0.04,0.05,0.01
Diego Coppola,ITA,Defender,Hellas Verona,Serie A,19,2003,13,11,"1,024",11.4,0,5.0,0.3,0.3,9.0,8.0,0.03,0.03,0.03,0.0
Francis Coquelin,FRA,Midfielder,Villarreal,La Liga,31,1991,16,9,748,8.3,1,1.0,1.0,2.0,1.0,1.0,2.0,11.0,27.0,0
Sébastien Corchia,FRA,"Defender,Midfielder",Nantes,Ligue 1,32,1990,20,4,622,6.9,0,1.0,1.0,2.0,19.0,0.3,0.5,0,60.0,0
Maxwel Cornet,CIV,Forward,West Ham,Premier League,26,1996,6,1,96,1.1,0,0.5,0.5,2.0,2.0,0,0,0,0,0
Jesús Corona,MEX,Forward,Sevilla,La Liga,30,1993,1,1,62,0.7,1,0.2,0.2,1.0,0.0,0,0,0,0,0
Ángel Correa,ARG,"Forward,Midfielder",Atlético Madrid,La Liga,28,1995,24,9,972,10.8,5,5.0,5.0,2.0,4.9,4.9,2.7,32.0,38.0,104.0
Joaquín Correa,ARG,Forward,Inter,Serie A,28,1994,18,4,448,5.0,3,1.0,4.0,3.0,2.2,2.2,0.8,5.0,8.0,31.0
Thierry Correia,POR,"Defender, Forward",Valencia,La Liga,24,1999,20,18,"1,542",17.1,0,3.0,0.3,0.5,50.0,77.0,97.0,0.02,0.05,0.02
Alessandro Cortinovis,ITA,Midfielder,Hellas Verona,Serie A,22,2001,1,6,0.1,2.0,0,2.0,0,0,0.0,0.0,0.0,0.0,0,0
Danny da Costa,GER,Defender,Mainz 05,Bundesliga,29,1993,16,11,967,10.7,0,2.0,2.0,0.2,29.0,1.1,49.0,0.02,0.19,0.19
David Pereira da Costa,POR,"Midfielder, FORWARD",Lens,Ligue 1,22,2001,26,16,"1,346",15.0,1,3.0,4.0,1.0,2.7,2.7,3.9,60.0,111.0,131.0
Diego Costa,ESP,Forward,Wolves,Premier League,34,1988,14,9,711,7.9,2,2.0,1.0,2.2,10.0,2.5,4.0,0,0,0
Jaume Costa,ESP,Defender,Mallorca,La Liga,35,1988,22,22,"1,840",20.4,1,1.0,1.0,7.0,45.0,1.7,2.8,0.05,101.0,0.05
Logan Costa,CPV,"Defender,Midfielder",Toulouse,Ligue 1,21,2001,2,55,0.6,2.0,1,0,0,0,0.0,0.0,0.0,0,0,0.0
Nuno da Costa,CPV,"Forward,Midfielder",Auxerre,Ligue 1,32,1991,23,14,"1,324",14.7,3,2.0,5.0,3.0,3.0,1.0,3.0,16.0,5.1,22.0
Samu Costa,POR,Midfielder,Almería,La Liga,22,2000,20,13,"1,245",13.8,1,1.0,1.0,3.0,1.1,0.5,1.6,5.0,15.0,0.07
Benoît Costil,FRA,Goalkeeper,Auxerre,Ligue 1,35,1987,19,19,"1,710",19.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimír Coufal,CZE,Defender,West Ham,Premier League,30,1992,18,16,"1,426",15.8,0,4.0,0.3,1.6,42.0,72.0,78.0,0.02,0.12,0.02
Lassana Coulibaly,MLI,Midfielder,Salernitana,Serie A,26,1996,25,24,"2,056",22.8,2,2.0,4.0,2.0,0.5,0.5,1.3,34.0,81.0,48.0
Tanguy Coulibaly,FRA,"Forward, Defender",Stuttgart,Bundesliga,22,2001,7,200,2.2,1.0,1,1.0,1.0,0.3,0.3,0.5,8.0,9.0,0,0
Thibaut Courtois,BEL,Goalkeeper,Real Madrid,La Liga,30,1992,20,20,"1,800",20.0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu Coutadeur,FRA,Midfielder,Ajaccio,Ligue 1,37,1986,18,15,"1,342",14.9,0,0.1,0.6,0.6,17.0,19.0,0.04,0.0,0.04,0.0
Philippe Coutinho,BRA,"Midfielder, FORWARD",Aston Villa,Premier League,30,1992,20,7,788,8.8,1,1.0,1.0,3.0,1.4,0.5,1.8,18.0,68.0,0
Yan Couto,BRA,"Defender,Midfielder",Girona,La Liga,20,2002,14,7,684,7.6,0,1.0,1.0,1.0,33.0,1.1,1.4,0,49.0,0
Conor Coventry,IRL,"Midfielder, FORWARD",West Ham,Premier League,23,2000,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Cozza,FRA,Defender,Montpellier,Ligue 1,24,1999,17,14,"1,277",14.2,2,1.0,3.0,2.0,1.4,1.4,0.8,20.0,48.0,34.0
Alessio Cragno,ITA,Goalkeeper,Monza,Serie A,28,1994,1,1,90,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Aaron Cresswell,ENG,Defender,West Ham,Premier League,33,1989,19,17,"1,578",17.5,0,2.0,0.3,2.6,27.0,123.0,69.0,0.02,0.17,0.02
Bryan Cristante,ITA,Midfielder,Roma,Serie A,28,1995,26,26,"2,170",24.1,1,1.0,2.0,1.0,1.1,1.0,1.1,13.0,2.1,115.0
Domen Crnigoj,SVN,Midfielder,Salernitana,Serie A,27,1995,7,4,296,3.3,0,1.0,0.1,0.4,2.0,3.0,9.0,0,0,0
Juan Cruz Armada,ESP,Defender,Osasuna,La Liga,30,1992,19,17,"1,533",17.0,0,6.0,0.2,1.0,14.0,50.0,50.0,0.01,0.07,0.01
Juan Cruz,ESP,Forward,Betis,La Liga,22,2000,5,1,174,1.9,1,1.0,1.0,0.5,0.5,0.6,1.0,7.0,0,0
Juan Cuadrado,COL,"Defender, Forward",Juventus,Serie A,34,1988,21,16,"1,320",14.7,1,3.0,4.0,1.0,1.1,1.0,1.1,28.0,3.3,52.0
Marc Cucurella,ESP,Defender,Chelsea,Premier League,24,1998,21,18,"1,435",15.9,0,2.0,2.0,3.0,25.0,0.4,0.8,0.02,58.0,0.13
Jorge Cuenca,ESP,Defender,Villarreal,La Liga,23,1999,6,4,356,4.0,0,1.0,0.2,0.1,6.0,20.0,0,0,0,0
Braian Cufré,ARG,Defender,Mallorca,La Liga,26,1996,5,2,220,2.4,0,0.1,0.1,7.0,3.0,0,0,0,0,0
Mickaël Cuisance,FRA,Midfielder,Sampdoria,Serie A,23,1999,6,6,378,4.2,0,1.0,0.3,0.5,9.0,14.0,20.0,0,0,0
Matheus Cunha,BRA,Forward,Wolves,Premier League,23,1999,9,5,436,4.8,1,1.0,1.0,1.3,1.3,1.7,7.0,6.0,0,0
Matheus Cunha,BRA,"Forward,Midfielder",Atlético Madrid,La Liga,23,1999,11,2,377,4.2,1,2.0,2.0,2.0,6.0,0.8,2.2,0,19.0,0
Curro,ESP,Midfielder,Almería,La Liga,27,1996,2,43,0.5,1.0,0,0.1,0.2,0.3,1.0,1.0,0,0,0,0
Marco D'Alessandro,ITA,"Defender, Forward",Monza,Serie A,32,1991,8,3,290,3.2,0,2.0,0.3,0.2,14.0,3.0,19.0,0,0,0
Danilo D'Ambrosio,ITA,Defender,Inter,Serie A,34,1988,9,2,280,3.1,4,1.0,1.0,2.0,0.0,0.6,0.6,0,9.0,0
Luca D'Andrea,ITA,Forward,Sassuolo,Serie A,18,2004,5,5,316,3.5,0,1.0,1.0,0.3,11.0,1.1,9.0,0,0,0
Damien Da Silva,FRA,Defender,Lyon,Ligue 1,34,1988,7,3,338,3.8,0,2.0,0.1,0.1,2.0,1.0,0,0,0,0
Moanes Dabbur,ISR,Forward,Hoffenheim,Bundesliga,30,1992,16,5,661,7.3,5,1.0,6.0,5.0,2.7,1.0,2.7,7.0,3.7,29.0
Colin Dagba,FRA,Defender,Strasbourg,Ligue 1,24,1998,16,9,710,7.9,0,2.0,0.1,0.7,23.0,25.0,40.0,0,0,0
Finn Dahmen,GER,Goalkeeper,Mainz 05,Bundesliga,25,1998,6,6,540,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Mahmoud Dahoud,GER,Midfielder,Dortmund,Bundesliga,27,1996,8,4,307,3.4,0,1.0,0.4,0.5,5.0,21.0,3.0,0,0,0
Patson Daka,ZAM,Forward,Leicester City,Premier League,24,1998,20,11,850,9.4,4,3.0,7.0,4.0,2.7,2.7,2.4,13.0,14.0,59.0
Thijs Dallinga,NED,Forward,Toulouse,Ligue 1,22,2000,27,21,"1,656",18.4,10,1.0,11.0,10.0,6.9,6.9,1.6,16.0,26.0,116.0
Diogo Dalot,POR,Defender,Manchester Utd,Premier League,24,1999,18,17,"1,520",16.9,1,2.0,2.0,5.0,36.0,1.7,3.4,0.1,57.0,0.12
Muhammed Damar,GER,Midfielder,Hoffenheim,Bundesliga,18,2004,6,1,159,1.8,0,0.1,0.2,0.3,2.0,7.0,0,0,0,0
Mikkel Damsgaard,DEN,"Midfielder, FORWARD",Brentford,Premier League,22,2000,16,4,522,5.8,0,2.0,0.6,0.9,5.0,25.0,27.0,0,0,0
Flavius Daniliuc,AUT,Defender,Salernitana,Serie A,21,2001,18,16,"1,481",16.5,0,2.0,2.0,6.0,9.0,0.2,0.7,0.03,4.0,0.12
Flavius Daniliuc,AUT,Defender,Nice,Ligue 1,21,2001,2,1,91,1.0,2,0.1,0.1,4.0,0.0,0,0,0,0,0
Danilo,BRA,Midfielder,Nott'ham Forest,Premier League,21,2001,3,2,148,1.6,0,1.0,0.1,0.1,0.0,2.0,0,0.0,0,0
Danilo,BRA,Defender,Juventus,Serie A,31,1991,27,26,"2,353",26.1,3,3.0,6.0,3.0,1.9,1.9,2.3,25.0,111.0,33.0
Arnaut Danjuma,NED,Forward,Tottenham,Premier League,26,1997,1,12,0.1,5.0,2,0,0,0,0.0,0,0,0,0,0.0
Arnaut Danjuma,NED,Forward,Villarreal,La Liga,26,1997,10,6,479,5.3,2,2.0,1.0,1.0,2.7,1.9,0.4,12.0,2.0,35.0
Kevin Danso,AUT,Defender,Lens,Ligue 1,24,1998,28,28,"2,520",28.0,1,1.0,2.0,1.0,2.2,2.2,0.9,25.0,130.0,2.0
Dante,BRA,Defender,Nice,Ligue 1,39,1983,27,27,"2,430",27.0,1,2.0,3.0,1.0,1.1,1.1,1.1,8.0,100.0,2.0
Márton Dárdai,GER,Defender,Hertha BSC,Bundesliga,21,2002,10,4,443,4.9,1,1.0,1.0,1.0,0.1,0.2,0.2,2.0,0,0
Sergi Darder,ESP,Midfielder,Espanyol,La Liga,29,1993,26,26,"2,313",25.7,4,2.0,6.0,4.0,2.0,2.0,5.0,81.0,160.0,53.0
Achraf Dari,MAR,Defender,Brest,Ligue 1,23,1999,18,15,"1,317",14.6,1,1.0,1.0,1.0,0.4,0.4,33.0,3.0,0.07,0.07
Vladimír Darida,CZE,Midfielder,Hertha BSC,Bundesliga,32,1990,3,31,0.3,1.0,1,0,0,0,0.0,0.0,0.0,0,0,0.0
Matteo Darmian,ITA,Defender,Inter,Serie A,33,1989,22,18,"1,441",16.0,1,2.0,3.0,1.0,1.0,1.0,1.7,14.0,64.0,84.0
Josh Dasilva,ENG,Midfielder,Brentford,Premier League,24,1998,26,12,"1,121",12.5,3,2.0,5.0,3.0,1.0,1.0,1.4,48.0,52.0,49.0
Jonathan David,CAN,Forward,Lille,Ligue 1,23,2000,27,26,"2,283",25.4,19,4.0,23.0,13.0,18.1,7.0,4.0,48.0,4.6,17.1
Alphonso Davies,CAN,Defender,Bayern Munich,Bundesliga,22,2000,22,21,"1,835",20.4,1,4.0,5.0,1.0,1.5,3.3,4.8,107.0,142.0,0.2
Ben Davies,WAL,Defender,Tottenham,Premier League,29,1993,25,21,"1,831",20.3,2,2.0,4.0,2.0,1.0,1.0,2.3,30.0,96.0,54.0
Tom Davies,ENG,Midfielder,Everton,Premier League,24,1998,16,4,477,5.3,1,3.0,1.2,0.1,2.0,26.0,11.0,0,0,0
Pawel Dawidowicz,POL,Defender,Hellas Verona,Serie A,27,1995,16,14,"1,130",12.6,1,1.0,2.0,1.0,1.1,1.0,1.1,16.0,1.9,39.0
Craig Dawson,ENG,Defender,West Ham,Premier League,32,1990,8,8,720,8.0,0,2.0,0.5,0.1,0.0,18.0,1.0,0,0,0
Craig Dawson,ENG,Defender,Wolves,Premier League,32,1990,8,8,675,7.5,1,1.0,1.0,2.0,0.6,0.6,16.0,1.0,0,0
Kevin De Bruyne,BEL,Midfielder,Manchester City,Premier League,31,1991,25,22,"1,938",21.5,4,12.0,16.0,4.0,4.1,4.1,10.4,89.0,188.0,189.0
Charles De Ketelaere,BEL,Midfielder,Milan,Serie A,22,2001,23,7,872,9.7,1,1.0,1.0,2.0,38.0,1.8,3.5,0.17,47.0,0.1
Manuel De Luca,ITA,"Forward,Midfielder",Sampdoria,Serie A,24,1998,2,44,0.5,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Rodrigo De Paul,ARG,Midfielder,Atlético Madrid,La Liga,28,1994,19,14,"1,115",12.4,1,3.0,4.0,1.0,0.4,0.4,3.6,29.0,111.0,34.0
Mattia De Sciglio,ITA,Defender,Juventus,Serie A,30,1992,15,9,921,10.2,0,0.1,0.4,0.5,12.0,35.0,0.04,0.01,0.01,0.05
Lorenzo De Silvestri,ITA,Defender,Bologna,Serie A,34,1988,9,5,518,5.8,0,1.0,0.4,0.2,8.0,20.0,13.0,0,0,0
Thibault De Smet,BEL,Defender,Reims,Ligue 1,24,1998,14,14,"1,246",13.8,25,1.0,1.0,2.0,0.0,0.2,63.0,0.0,0.07,0.07
Koni De Winter,BEL,Defender,Empoli,Serie A,20,2002,12,10,895,9.9,1,3.0,0.2,0.2,0.0,0.02,0.02,0.0,0.0,0.0
Grégoire Defrel,MTQ,Forward,Sassuolo,Serie A,31,1991,16,8,683,7.6,1,1.0,1.0,2.0,2.1,0.3,2.4,8.0,39.0,0
Duccio Degl'Innocenti,ITA,Midfielder,Empoli,Serie A,19,2003,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Brecht Dejaegere,BEL,Midfielder,Toulouse,Ligue 1,31,1991,24,22,"1,611",17.9,4,1.0,5.0,4.0,2.5,2.5,1.6,32.0,89.0,74.0
Romain Del Castillo,FRA,"Forward,Midfielder",Brest,Ligue 1,26,1996,17,11,945,10.5,5,5.0,10.0,1.0,4.7,4.0,2.0,34.0,3.0,4.6
Alberto Del Moral,ESP,Midfielder,Villarreal,La Liga,22,2000,1,5,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Delaine,FRA,Defender,Strasbourg,Ligue 1,31,1992,14,10,857,9.5,0,1.0,1.0,3.0,31.0,1.3,1.7,0.04,78.0,0.11
Thomas Delaney,DEN,Midfielder,Sevilla,La Liga,31,1991,8,2,309,3.4,0,3.0,0.2,0.1,1.0,7.0,3.0,0,0,0
Thomas Delaney,DEN,Midfielder,Hoffenheim,Bundesliga,31,1991,5,4,284,3.2,0,0.1,0.1,13.0,0.0,0,0,0,0,0
Sacha Delaye,FRA,"Forward,Midfielder",Montpellier,Ligue 1,20,2002,3,20,0.2,1.0,1,1.0,0.1,0.1,0.1,0,0,1.0,0,0
Fran Delgado,ESP,Defender,Betis,La Liga,21,2001,1,12,0.1,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Andy Delort,ALG,Forward,Nice,Ligue 1,31,1991,14,9,781,8.7,6,1.0,7.0,3.0,5.4,3.0,3.0,7.0,4.4,19.0
Andy Delort,ALG,Forward,Nantes,Ligue 1,31,1991,6,2,209,2.3,2,2.1,0.4,2.4,2.0,21.0,0,0,0,0
Karamoko Dembele,SCO,"Forward,Midfielder",Brest,Ligue 1,20,2003,14,163,1.8,0.2,0,0.2,0.4,4.0,6.0,0,0,0,0,0
Moussa Dembélé,FRA,"Forward,Midfielder",Lyon,Ligue 1,26,1996,21,8,841,9.3,3,3.0,3.0,1.0,3.7,0.3,4.0,10.0,63.0,0.32
Ousmane Dembélé,FRA,Forward,Barcelona,La Liga,25,1997,18,14,"1,100",12.2,5,5.0,10.0,5.0,2.9,2.9,3.7,91.0,58.0,148.0
Siriki Dembélé,CIV,"Forward,Midfielder",Bournemouth,Premier League,26,1996,6,110,1.2,0.2,0,0.3,0.5,4.0,5.0,0,0,0,0,0
Siriki Dembélé,CIV,Midfielder,Auxerre,Ligue 1,26,1996,6,3,243,2.7,0,1.0,0.2,0.6,7.0,4.0,21.0,0,0,0
Merih Demiral,TUR,Defender,Atalanta,Serie A,25,1998,22,14,"1,441",16.0,1,1.0,1.0,5.0,0.7,0.5,1.2,1.0,4.0,0.06
Kerem Demirbay,GER,Midfielder,Leverkusen,Bundesliga,29,1993,20,13,"1,167",13.0,3,3.0,6.0,3.0,1.9,1.9,2.0,19.0,70.0,16.0
