Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Craig Dawson,ENG,DF,Wolves,Premier League,32-326,1990,8,8,675,7.5,1.0,1.0,1.0,2.0,0.6,0.6,16.0,1.0, , 
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31-273,1991,25,22,"1,938",21.5,4.0,12.0,16.0,4.0,4.1,4.1,10.4,89.0,188.0,189.0
Charles De Ketelaere,BEL,MF,Milan,Serie A,22-018,2001,23,7,872,9.7,1.7,1.0,1.0,2.0,38.0,1.8,3.5,0.17,47.0,0.1
Manuel De Luca,ITA,"FW,MF",Sampdoria,Serie A,24-254,1998,2,44,0.5,4.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28-308,1994,19,14,"1,115",12.4,1.0,3.0,4.0,1.0,0.4,0.4,3.6,29.0,111.0,34.0
Mattia De Sciglio,ITA,DF,Juventus,Serie A,30-159,1992,15,9,921,10.2,0.1,0.1,0.4,0.5,12.0,35.0,0.04,0.01,0.01,0.05
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34-309,1988,9,5,518,5.8,0.4,1.0,0.4,0.2,8.0,20.0,13.0, , , 
Thibault De Smet,BEL,DF,Reims,Ligue 1,24-296,1998,14,14,"1,246",13.8,25.0,1.0,1.0,2.0,0.0,0.2,63.0,0.0,0.07,0.07
Koni De Winter,BEL,DF,Empoli,Serie A,20-289,2002,12,10,895,9.9,1.0,3.0,0.2,0.2,0.0,0.02,0.02,0.0,0.0,0.0
Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31-284,1991,16,8,683,7.6,1.0,1.0,1.0,2.0,2.1,0.3,2.4,8.0,39.0, 
Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19-334,2003,1,3, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31-303,1991,24,22,"1,611",17.9,4.0,1.0,5.0,4.0,2.5,2.5,1.6,32.0,89.0,74.0
Romain Del Castillo,FRA,"FW,MF",Brest,Ligue 1,26-364,1996,17,11,945,10.5,5.0,5.0,10.0,1.0,4.7,4.0,2.0,34.0,3.0,4.6
Alberto Del Moral,ESP,MF,Villarreal,La Liga,22-251,2000,1,5,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,31-004,1992,14,10,857,9.5,0.4,1.0,1.0,3.0,31.0,1.3,1.7,0.04,78.0,0.11
Thomas Delaney,DEN,MF,Sevilla,La Liga,31-206,1991,8,2,309,3.4,0.2,3.0,0.2,0.1,1.0,7.0,3.0, , , 
Thomas Delaney,DEN,MF,Hoffenheim,Bundesliga,31-206,1991,5,4,284,3.2,0.1,0.1,0.1,13.0, , , , , , 
Sacha Delaye,FRA,"FW,MF",Montpellier,Ligue 1,20-339,2002,3,20,0.2,1.0,1.0,1.0,0.1,0.1,0.1, , ,1.0, , 
Fran Delgado,ESP,DF,Betis,La Liga,21-260,2001,1,12,0.1,3.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Andy Delort,ALG,FW,Nice,Ligue 1,31-170,1991,14,9,781,8.7,6.0,1.0,7.0,3.0,5.4,3.0,3.0,7.0,4.4,19.0
Andy Delort,ALG,FW,Nantes,Ligue 1,31-170,1991,6,2,209,2.3,2.1,2.1,0.4,2.4,2.0,21.0, , , , 
Karamoko Dembele,SCO,"FW,MF",Brest,Ligue 1,20-034,2003,14,163,1.8,0.2,0.2,0.2,0.4,4.0,6.0, , , , , 
Moussa Dembélé,FRA,"FW,MF",Lyon,Ligue 1,26-259,1996,21,8,841,9.3,3.0,3.0,3.0,1.0,3.7,0.3,4.0,10.0,63.0,0.32
Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25-317,1997,18,14,"1,100",12.2,5.0,5.0,10.0,5.0,2.9,2.9,3.7,91.0,58.0,148.0
Siriki Dembélé,CIV,"FW,MF",Bournemouth,Premier League,26-202,1996,6,110,1.2,0.2,0.2,0.3,0.5,4.0,5.0, , , , , 
Siriki Dembélé,CIV,MF,Auxerre,Ligue 1,26-202,1996,6,3,243,2.7,0.2,1.0,0.2,0.6,7.0,4.0,21.0, , , 
Merih Demiral,TUR,DF,Atalanta,Serie A,25-023,1998,22,14,"1,441",16.0,1.0,1.0,1.0,5.0,0.7,0.5,1.2,1.0,4.0,0.06
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29-268,1993,20,13,"1,167",13.0,3.0,3.0,6.0,3.0,1.9,1.9,2.0,19.0,70.0,16.0
Ermedin Demirovic,BIH,"FW,MF",Augsburg,Bundesliga,25-003,1998,24,24,"1,854",20.6,7.0,4.0,11.0,6.0,6.0,1.0,5.0,20.0,5.2,3.1
Diego Demme,GER,MF,Napoli,Serie A,31-127,1991,4,27,0.3,9.0,1.0, , , ,0.0,0.0,0.0, , ,0.0
Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,21-098,2001,4,4,322,3.6,0.5,1.0,0.5,0.5,1.0, , , , , 
Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27-250,1995,27,27,"2,352",26.1,5.0,7.0,12.0,1.0,5.7,4.0,5.0,30.0,6.2,8.8
Leander Dendoncker,BEL,MF,Aston Villa,Premier League,27-347,1995,13,3,365,4.1,1.0,0.5,0.5,10.0, , , , , , 
Leander Dendoncker,BEL,MF,Wolves,Premier League,27-347,1995,4,2,214,2.4,0.7,0.7,0.7,6.0,1.0, , , , , 
Emmanuel Dennis,NGA,FW,Nott'ham Forest,Premier League,25-133,1997,14,4,551,6.1,2.0,1.0,3.0,2.0,1.2,1.2,0.3,14.0,13.0,45.0
Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25-338,1997,21,16,"1,492",16.6,2.0,2.0,4.0,2.0,1.4,1.4,1.0,21.0,54.0,53.0
Fabio Depaoli,ITA,"DF,MF",Sampdoria,Serie A,25-338,1997,3,1,136,1.5,0.2,1.0,0.2,0.4,2.0,10.0,6.0, , , 
Kastriot Dermaku,ALB,DF,Lecce,Serie A,31-072,1992,1,34,0.4, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Halil Dervisoglu,TUR,MF,Brentford,Premier League,23-110,1999,1,8,0.1, , , , , , , , ,0.0,0.0,0.0
Rémy Descamps,FRA,GK,Nantes,Ligue 1,26-276,1996,1,1,90,1.0, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Mikkel Desler,DEN,DF,Toulouse,Ligue 1,28-037,1995,20,19,"1,653",18.4,1.0,2.0,3.0,1.0,0.7,1.0,0.7,39.0,2.0,97.0
Cyriel Dessers,NGA,FW,Cremonese,Serie A,28-110,1994,21,16,"1,334",14.8,5.0,5.0,5.0,1.0,6.2,5.4,1.3,15.0,23.0,94.0
Sergiño Dest,USA,DF,Milan,Serie A,22-145,2000,8,2,329,3.7,0.3,0.3,0.3,0.6,11.0,12.0, , , , 
Mattia Destro,ITA,FW,Empoli,Serie A,32-008,1991,10,6,456,5.1,1.0,1.0,1.0,2.0,1.2,0.4,1.6,4.0,13.0, 
Gerard Deulofeu,ESP,FW,Udinese,Serie A,29-015,1994,16,15,"1,211",13.5,2.0,6.0,8.0,2.0,5.1,5.1,4.4,72.0,82.0,118.0
Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,24-203,1998,25,24,"1,956",21.7,2.0,2.0,4.0,2.0,2.1,2.1,2.7,57.0,116.0,78.0
Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,34-180,1988,2,28,0.3,0.1,0.1,0.1,1.0,2.0,1.0, , , , , 
Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28-287,1994,26,17,"1,413",15.7,1.0,2.0,3.0,1.0,2.2,2.2,2.3,42.0,37.0,136.0
Michele Di Gregorio,ITA,GK,Monza,Serie A,25-244,1997,26,26,"2,340",26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,29-236,1993,27,27,"2,418",26.9,1.0,4.0,5.0,1.0,1.6,1.6,3.7,52.0,189.0,127.0
Ángel Di María,ARG,"FW,MF",Juventus,Serie A,35-042,1988,16,11,876,9.7,4.0,4.0,8.0,3.0,2.1,1.0,1.0,30.0,3.4,4.7
Boulaye Dia,SEN,FW,Salernitana,Serie A,26-132,1996,24,19,"1,764",19.6,10.0,4.0,14.0,10.0,5.9,5.9,2.3,30.0,36.0,109.0
Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23-264,1999,24,24,"1,949",21.7,8.0,4.0,12.0,8.0,8.3,2.0,7.5,91.0,12.9,70.0
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,26-099,1996,18,17,"1,457",16.2,2.0,2.0,2.0,6.0,1.8,1.8,0.2,7.0,44.0,4.0
Bafodé Diakité,FRA,DF,Lille,Ligue 1,22-081,2001,24,22,"1,962",21.8,2.0,2.0,2.0,5.0,1.1,0.6,1.7,29.0,59.0,0.09
Ibrahim Diakité,GUI,DF,Reims,Ligue 1,19-148,2003,3,1,131,1.5,0.2,1.0,0.2,0.2, ,6.0, , , , 
Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26-328,1996,5,5,436,4.8,1.0,1.0,1.0,2.0,0.4,0.1,0.5,11.0,2.0, 
Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21-277,2001,6,89,1,1.0,3.0,9.0, , , , , , , , 
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27-283,1995,28,23,"2,076",23.1,14.0,14.0,13.0,1.0,11.8,2.0,10.2,25.0,12.5,28.0
Ibrahima Diallo,FRA,MF,Southampton,Premier League,24-020,1999,16,11,803,8.9,0.2,3.0,0.2,0.1,9.0,28.0,6.0, , , 
Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,26-058,1997,22,20,"1,722",19.1,0.2,6.0,1.0,0.2,31.0,0.6,61.0,0.01,0.02,0.03
Mamady Diarra,MLI,"MF,DF",Cádiz,La Liga,22-275,2000,2,1,66,0.7,0.1,0.1,0.1, ,3.0, , , , , 
Mouhamadou Diarra,SEN,MF,Strasbourg,Ligue 1,19-084,2004,19,9,897,10.0,0.6,1.0,0.6,0.7,36.0,39.0,39.0,0.06,0.13,0.06
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,22-138,2000,20,10,"1,046",11.6,0.2,1.0,1.0,0.2,20.0,0.8,45.0,0.01,0.09,0.09
Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,24-109,1998,25,13,987,11.0,2.0,2.0,2.0,1.0,2.2,1.7,4.0,39.0,85.0,0.18
Youba Diarra,MLI,MF,Cádiz,La Liga,25-004,1998,4,53,0.6,1.0,1.0,0.5,0.5,3.0,0.0, , , , , 
Rúben Dias,POR,DF,Manchester City,Premier League,25-318,1997,19,15,"1,369",15.2,1.3,2.0,1.3,0.1,8.0,74.0,1.0,0.09,0.1,0.09
Krépin Diatta,SEN,"MF,FW",Monaco,Ligue 1,24-031,1999,24,18,"1,654",18.4,3.0,2.0,5.0,3.0,3.7,3.7,2.7,66.0,70.0,180.0
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29-279,1993,28,28,"2,520",28.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahim Díaz,ESP,MF,Milan,Serie A,23-237,1999,23,19,"1,308",14.5,4.0,3.0,7.0,4.0,3.3,3.3,3.6,58.0,89.0,76.0
Luis Díaz,COL,FW,Liverpool,Premier League,26-074,1997,8,7,613,6.8,3.0,2.0,5.0,3.0,1.7,1.7,1.0,21.0,25.0,72.0
Justin Diehl,GER,"MF,FW",Köln,Bundesliga,18-121,2004,2,17,0.2,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Bamba Dieng,SEN,"FW,MF",Marseille,Ligue 1,23-005,2000,10,1,194,2.2,1.0,1.0,1.0,1.0,1.5,0.1,1.6,5.0,23.0, 
Bamba Dieng,SEN,FW,Lorient,Ligue 1,23-005,2000,8,6,428,4.8,2.0,2.0,1.0,1.0,2.5,1.7,0.5,1.0,3.0,30.0
Eric Dier,ENG,DF,Tottenham,Premier League,29-072,1994,26,25,"2,275",25.3,2.0,1.0,3.0,2.0,1.2,1.2,1.2,6.0,72.0,11.0
Florian Dietz,GER,FW,Köln,Bundesliga,24-237,1998,11,4,395,4.4,1.0,1.0,1.0,1.0,2.5,0.3,2.8,8.0,22.0, 
Lucas Digne,FRA,DF,Aston Villa,Premier League,29-251,1993,20,16,"1,291",14.3,1.0,1.0,1.0,3.0,0.3,1.6,1.9,23.0,76.0,0.07
Federico Dimarco,ITA,DF,Inter,Serie A,25-138,1997,25,21,"1,677",18.6,3.0,2.0,5.0,3.0,2.4,5.0,7.4,37.0,159.0,0.11
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29-093,1993,25,25,"2,250",25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,22-127,2000,11,8,780,8.7,2.0,1.0,3.0,2.0,1.9,1.9,1.4,28.0,28.0,26.0
Tristan Dingomé,CMR,MF,Troyes,Ligue 1,32-039,1991,8,99,1.1,0.2,0.2,0.3,0.4,6.0,1.0, , , , , 
Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,21-105,2001,12,177,2,0.4,0.4,0.2,0.6,6.0,3.0, , , , , 
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21-353,2001,16,15,"1,299",14.4,0.5,1.0,0.5,0.6,4.0,3.0,0.04,0.04,0.04,0.0
Lois Diony,FRA,FW,Angers,Ligue 1,30-098,1992,8,5,437,4.9,1.0,1.0,1.0,1.0,1.7,0.3,2.1,13.0,48.0, 
Edan Diop,FRA,DF,Monaco,Ligue 1,18-212,2004,2,60,0.7,10.0,3.0,12.0, , , , , , , , 
Issa Diop,FRA,DF,Fulham,Premier League,26-078,1997,18,15,"1,416",15.7,1.0,1.0,1.0,2.0,0.3,0.3,54.0,8.0,0.06,0.06
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,22-292,2000,18,12,"1,007",11.2,1.0,4.0,5.0,1.0,1.4,1.4,1.4,42.0,44.0,71.0
Sofiane Diop,FRA,MF,Monaco,Ligue 1,22-292,2000,1,1,65,0.7,1.0,1.0,1.0,1.0,1.0,1.1,2.0,5.0, , 
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23-132,1999,21,21,"1,890",21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Disasi,FRA,DF,Monaco,Ligue 1,25-017,1998,28,27,"2,430",27.0,2.0,3.0,5.0,2.0,2.8,2.0,2.0,50.0,3.1,159.0
Malcom Abdulai Ares Djalo,ESP,FW,Athletic Club,La Liga,21-167,2001,1,5,0.1,1.0,1.0,3.0, , , , , , , , 
Tiago Djaló,POR,DF,Lille,Ligue 1,22-353,2000,25,24,"2,017",22.4,2.0,2.0,2.0,7.0,1.3,0.1,1.4,9.0,4.0,0.09
Djené,TOG,DF,Getafe,La Liga,31-087,1991,23,23,"1,986",22.1,0.3,1.0,1.0,7.0,5.0,0.4,0.7,0.01,12.0,0.05
Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24-286,1998,12,6,578,6.4,0.2,1.0,1.0,0.2,23.0,0.4,17.0, , , 
Koffi Djidji,CIV,DF,Torino,Serie A,30-118,1992,24,20,"1,831",20.3,1.0,1.0,1.0,2.0,0.9,0.1,1.1,6.0,12.0,0.05
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,28-231,1994,25,25,"2,156",24.0,1.0,2.0,3.0,1.0,1.2,1.2,0.6,4.0,125.0,3.0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,30-037,1993,14,10,936,10.4,0.4,2.0,0.4,0.4,6.0,6.0,0.04,0.04,0.04,0.0
Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,23-175,1999,6,1,136,1.5,0.1,0.1,0.2,2.0, , , , , , 
Marko Dmitrovic,SRB,GK,Sevilla,La Liga,31-063,1992,4,2,279,3.1, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,21-009,2002,2,16,0.2, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,SCO,FW,Liverpool,Premier League,17-137,2005,2,26,0.3,1.0,1.0,4.0, , ,0.0,0.0,0.0, , , 
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,24-285,1998,25,22,"1,770",19.7,4.0,3.0,7.0,4.0,5.0,5.0,2.2,61.0,48.0,140.0
Dodô,BRA,DF,Fiorentina,Serie A,24-131,1998,23,20,"1,661",18.5,0.5,2.0,2.0,5.0,40.0,0.5,1.4,0.03,103.0,80.0
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24-271,1998,16,16,"1,406",15.6,4.0,1.0,5.0,4.0,1.3,0.2,1.5,13.0,14.0,0.06
Matt Doherty,IRL,"DF,MF",Tottenham,Premier League,31-071,1992,12,7,667,7.4,1.0,1.0,1.0,0.8,0.8,1.0,20.0,16.0, , 
Matt Doherty,IRL,DF,Atlético Madrid,La Liga,31-071,1992,1,13,0.1,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Josh Doig,SCO,DF,Hellas Verona,Serie A,20-314,2002,19,14,"1,240",13.8,2.0,3.0,5.0,2.0,1.8,1.8,1.0,40.0,24.0,57.0
Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20-305,2002,19,5,601,6.7,1.0,1.0,1.0,1.3,1.3,2.7,32.0,43.0, , 
Kasper Dolberg,DEN,FW,Sevilla,La Liga,25-173,1997,4,2,197,2.2,2.0,1.0,1.0,0.4, ,2.0,9.0, , , 
Kasper Dolberg,DEN,"FW,MF",Hoffenheim,Bundesliga,25-173,1997,8,4,342,3.8,0.4,0.4,0.4,0.9,4.0,18.0, , , , 
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22-045,2001,2,18,0.2,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24-273,1998,21,18,"1,581",17.6,1.0,2.0,3.0,1.0,1.2,1.2,1.8,26.0,95.0,53.0
John Donald,ESP,DF,Elche,La Liga,22-210,2000,3,2,150,1.7, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Giulio Donati,ITA,DF,Monza,Serie A,33-051,1990,6,3,309,3.4,1.0,1.0,1.0,3.0,0.4,0.4,0.4,3.0,8.0, 
Kyliane Dong,FRA,"DF,MF",Troyes,Ligue 1,18-182,2004,3,58,0.6,0.1,0.1,0.1,7.0, ,3.0, , , , , 
Jordan Dongmo,CMR,MF,Troyes,Ligue 1,22-057,2001,2,20,0.2, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24-031,1999,28,28,"2,520",28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,25-072,1998,6,2,187,2.1,2.0,1.0,6.0, ,0.0,0.0,0.0, , , 
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,25-099,1997,28,28,"2,515",27.9,3.0,3.0,3.0,4.0,3.8,0.2,4.0,14.0,11.0,0.11
Jodel Dossou,BEN,"MF,DF",Clermont Foot,Ligue 1,31-011,1992,9,2,258,2.9,1.0,1.0,1.0,0.4,0.4,0.6,6.0,8.0, , 
Lohann Doucet,FRA,"MF,FW",Nantes,Ligue 1,20-195,2002,9,91,1,0.1,0.1,0.2,0.2,9.0,2.0, , , , , 
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,30-086,1993,18,10,936,10.4,2.0,2.0,4.0,2.0,1.3,1.3,1.2,13.0,28.0,29.0
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,23-079,2000,25,25,"2,023",22.5,0.8,2.0,2.0,10.0,13.0,0.8,1.6,0.04,102.0,11.0
Ckene Doucouré,COM,"FW,MF",Lorient,Ligue 1,20-354,2002,8,89,1,1.0,0.7,1.0,0.7,0.6,4.0,5.0,15.0, , , 
Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,17-298,2005,21,10,"1,003",11.1,3.0,1.0,4.0,3.0,1.5,1.5,1.3,34.0,49.0,73.0
Guela Doué,FRA,FW,Rennes,Ligue 1,20-162,2002,1,8,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Ismaël Doukouré,FRA,DF,Strasbourg,Ligue 1,19-247,2003,18,16,"1,471",16.3,1.0,1.0,2.0,1.0,0.2,0.2,0.4,17.0,69.0,13.0
Kamory Doumbia,MLI,MF,Reims,Ligue 1,20-038,2003,20,11,910,10.1,2.0,2.0,4.0,1.0,3.3,1.0,2.5,24.0,5.1,62.0
Souleyman Doumbia,CIV,"DF,FW",Angers,Ligue 1,26-185,1996,21,21,"1,714",19.0,1.0,2.0,1.0,1.0,45.0,2.5,53.0,0.05,0.08,0.13
Flynn Downes,ENG,MF,West Ham,Premier League,24-067,1999,12,4,397,4.4,0.2,0.2,0.3,7.0,1.0, , , , , 
Bartlomiej Dragowski,POL,GK,Spezia,Serie A,25-221,1997,25,25,"2,136",23.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Drameh,ENG,DF,Leeds United,Premier League,21-110,2001,1,1,69,0.8, ,2.0,3.0, ,0.0,0.0,0.0,0.0, , 
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21-027,2002,9,7,477,5.3,1.0,1.0,1.0,1.0,0.3,0.2,0.5,4.0,23.0, 
Dominick Drexler,GER,"MF,FW",Schalke 04,Bundesliga,32-306,1990,18,12,"1,014",11.3,3.0,3.0,6.0,3.0,1.9,1.0,1.9,10.0,3.6,34.0
Domingos Duarte,POR,DF,Getafe,La Liga,28-018,1995,24,24,"2,104",23.4,1.1,2.0,2.0,10.0,4.0,1.1,0.8,0.05,49.0,0.09
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,34-072,1989,1,67,0.7, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29-021,1994,25,25,"2,090",23.2,8.0,5.0,13.0,8.0,8.1,2.0,7.3,25.0,11.2,41.0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28-113,1994,8,7,624,6.9,0.6,3.0,0.6,0.3,6.0,29.0,14.0, , , 
Ondrej Duda,SVK,MF,Köln,Bundesliga,28-113,1994,13,9,689,7.7,0.7,4.0,0.7,0.7,12.0,40.0,33.0, , , 
Shane Duffy,IRL,"FW,DF",Fulham,Premier League,31-086,1992,4,6,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Rémy Dugimont,FRA,"FW,MF",Auxerre,Ligue 1,36-270,1986,10,108,1.2,1.0,0.1,1.0,1.0,0.1,2.0,0.4,8.0, , , 
Denzel Dumfries,NED,DF,Inter,Serie A,26-344,1996,24,18,"1,561",17.3,1.0,3.0,4.0,1.0,2.9,2.9,3.8,40.0,39.0,127.0
Alfred Duncan,GHA,MF,Fiorentina,Serie A,30-018,1993,16,7,611,6.8,0.2,2.0,0.2,0.2,10.0,41.0,19.0, , , 
Lewis Dunk,ENG,DF,Brighton,Premier League,31-127,1991,25,25,"2,249",25.0,1.1,2.0,1.1,0.6,12.0,96.0,1.0,0.04,0.07,0.04
Maxime Dupé,FRA,GK,Toulouse,Ligue 1,30-024,1993,28,28,"2,520",28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Durán,COL,FW,Aston Villa,Premier League,19-105,2003,6,71,0.8,0.6,0.6,0.6,3.0,9.0,2.0, , , , , 
Pablo Durán,ESP,"MF,DF",Celta Vigo,La Liga,22-062,2001,4,36,0.4,3.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Hugo Duro,ESP,FW,Valencia,La Liga,23-138,1999,20,9,971,10.8,1.0,1.0,1.0,1.0,3.2,2.4,0.7,9.0,9.0,55.0
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,25-259,1997,24,18,"1,748",19.4,0.4,1.0,0.4,0.7,47.0,106.0,85.0,0.02,0.05,0.02
Paulo Dybala,ARG,"MF,FW",Roma,Serie A,29-133,1993,20,18,"1,431",15.9,9.0,6.0,15.0,7.0,6.3,2.0,3.0,42.0,5.7,10.3
Edin Deko,BIH,FW,Inter,Serie A,37-011,1986,27,17,"1,566",17.4,7.0,3.0,10.0,7.0,8.7,8.7,3.0,25.0,60.0,125.0
Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace,Premier League,19-205,2003,3,34,0.4,2.0,2.0,9.0, , ,0.0,0.0,0.0, , , 
Festy Ebosele,IRL,"DF,FW",Udinese,Serie A,20-238,2002,9,1,154,1.7,0.2,3.0,0.2,0.3,12.0,12.0,10.0, , , 
Enzo Ebosse,CMR,DF,Udinese,Serie A,24-017,1999,20,9,930,10.3,0.1,3.0,0.1,0.1,11.0,20.0,0.01,0.01,0.01,0.0
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,27-102,1995,16,12,"1,070",11.9,2.0,1.0,3.0,2.0,2.1,0.3,2.4,11.0,27.0,0.08
Ederson,BRA,GK,Manchester City,Premier League,29-223,1993,27,27,"2,430",27.0,0.0,1.0,1.0,2.0,0.0,0.2,0.04,0.0,0.04,0.01
Éderson,BRA,MF,Atalanta,Serie A,23-264,1999,24,16,"1,446",16.1,1.0,1.0,1.0,3.0,1.5,1.5,3.0,22.0,38.0,0.06
Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,25-071,1998,25,14,"1,277",14.2,3.0,2.0,5.0,3.0,3.1,3.1,1.0,21.0,29.0,67.0
Samuel Edozie,ENG,"FW,MF",Southampton,Premier League,20-059,2003,15,5,541,6.0,0.9,0.9,0.3,1.2,22.0,34.0, , , , 
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,26-110,1996,24,20,"1,829",20.3,1.0,2.0,3.0,1.0,0.6,0.6,0.9,17.0,68.0,33.0
Lilian Egloff,GER,"MF,FW",Stuttgart,Bundesliga,20-220,2002,10,2,241,2.7,0.4,1.0,0.4,0.4,8.0,7.0,22.0, , , 
Íñigo Eguaras,ESP,MF,Almería,La Liga,31-021,1992,19,10,845,9.4,1.0,1.0,2.0,1.0,1.0,1.0,0.6,6.0,53.0,6.0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,27-307,1995,21,10,"1,055",11.7,2.0,2.0,2.0,5.0,1.7,0.8,2.5,24.0,55.0,0.17
Kingsley Ehizibue,NED,DF,Köln,Bundesliga,27-307,1995,1,1,61,0.7,1.0,2.0,3.0, , , , , , , 
Chidera Ejuke,NGA,"FW,MF",Hertha BSC,Bundesliga,25-085,1998,15,9,790,8.8,1.4,3.0,3.0,1.4,33.0,2.5,36.0, , , 
Albin Ekdal,SWE,MF,Spezia,Serie A,33-243,1989,20,9,953,10.6,1.0,2.0,2.0,4.0,4.0,1.0,1.3,0.1,42.0,9.0
Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20-281,2002,19,8,827,9.2,3.0,3.0,6.0,3.0,2.8,1.1,3.8,17.0,60.0,0.33
Emmanuel Ekong,SWE,"FW,MF",Empoli,Serie A,20-276,2002,2,20,0.2,1.0,1.0, , , , , , , , ,0.0
